title,average_rating,price
"MHYALUDO Silicone Print Case Cover for Apple Airpods Pro 2nd Generation 2022 & 1st Generation 2019 Charging Case, Soft Earpods Case with keychain for Women with Airpods Pro Charging Case-White Leopard",5.0,10.99
"Cell Phone Car Mount, Magnetic, Universal, Black",4.5,None
"SUPCASE UB Pro Series Case for iPad Pro 12.9 inch for 2020 Release only, Support Apple Pencil Charging with Built-in Screen Protector Full-Body Rugged Kickstand Protective Case (Black)",4.5,27.99
"BENTOBEN iPad 9th Generation Case, iPad 8th Generation Case, iPad 7th Gen Case,iPad 10.2 Case,3 in 1 Heavy Duty Rugged Shockproof Kickstand Hybrid Bumper Protective Girl Women Boy Cover,Rainbow Design",4.5,None
"Bluetooth Audio Speaker Power Amplifier - Portable Dual Channel Surround Sound Stereo Receiver - for Amplified Subwoofer Speakers, DVD, MP3, iPhone, Computer, Theater Via 3.5mm RCA - Pyle PCA4BT (Renewed)",5.0,None
"Nurse Stickers for Water Bottles and Laptop, Nursing Stickers for Nurse Students, Nurses, and Healthcare Workers, Waterproof, Reusable, No Residue Vinyl Decal Perfect Nurse Gift (108 Designs)",4.6,8.99
13-15.6 Inch Laptop Sleeve Case Women Men Shoulder Bag Briefcase Messenger Bag Portable Handbag,4.6,14.88
"2020 Newest ASUS VivoBook 15.6"" FHD Laptop Computer, AMD Ryzen 5 3500U up to 3.7GHz, Radeon RX Vega HDMI WiFi Bluetooth USB-C Windows 10 w/ CUE Accessories (12GB DDR4, 512GB SSD)",4.5,None
CoBak Case for Kindle Paperwhite - All New PU Leather Cover with Auto Sleep Wake Feature for Kindle Paperwhite Signature Edition and Kindle Paperwhite 11th Generation 2021 Released,4.8,18.95
Gikfun Photoresistor GL5537 GL5528 LDR for Arduino EK1033,4.7,None
Desk Clamp Mount Suspension Arm Stand Holder for Mevo Live Event Camera by Livestream(1st Generation Only),5.0,None
Adafruit FTDI Serial TTL-232 USB Cable [ADA70],4.5,24.63
8x8ft Pink Rose Flower Theme Photography Backdrops 3D Pink Floral Newborn Kids Wedding Bridal Shower Photo Background Mother's Day Anniversary Ceremony Couple Photo Props Cake Table Banner,4.5,38.9
"SSV Works Polaris Ranger XP9 900 2012-up and Fullsize Ranger 2015-up XP 900 Under the Seat Subwoofer Enclosure designed for 10"" Speaker",5.0,None
"Monsoon G1/4"" to 1/2"" ID, 3/4"" OD Chain Gun Compression Fitting for Soft Tubing, Chrome, 4-Pack",5.0,25.71
YEELE 6x4ft Galaxy Backdrop Purple Night Sky in Deep Space of Universe Photography Backdrop Sci-fi Events Space Theme Birthday Decoration Kids Adults Artistic Portrait Photoshoot Studio Props,4.8,None
